user_id,age_group,gender,profession,hours_spending,musical_aspect,song_id
10420,18 - 24,Female,Medical Student,1 - 3,All,311
10421,18 - 24,Female,student,0 - 1,Music,175
10421,18 - 24,Female,student,0 - 1,Music,164
10421,18 - 24,Female,student,0 - 1,Music,179
10424,18 - 24,Female,student,0 - 1,Music,129
10425,25 - 34,Male,Planner,0 - 1,The singer's voice,24
10426,25 - 34,Male,Lecturer,1 - 3,The message of the song,186
10426,25 - 34,Male,Lecturer,1 - 3,The message of the song,305
10428,18 - 24,Female,student,0 - 1,Music,145
10429,18 - 24,Female,student,0 - 1,Music,14
10430,18 - 24,Female,student,0 - 1,Music,173
10429,18 - 24,Female,student,0 - 1,Music,304
10429,18 - 24,Female,student,0 - 1,Music,303
10429,18 - 24,Female,student,0 - 1,Music,302
10434,18 - 24,Female,student,0 - 1,Music,301
10435,18 - 24,Female,student,0 - 1,Music,300
10436,18 - 24,Female,student,0 - 1,Music,299
10435,18 - 24,Female,student,0 - 1,Music,114
10436,18 - 24,Female,student,0 - 1,Music,123
10439,18 - 24,Female,student,0 - 1,Music,205
10440,18 - 24,Female,student,0 - 1,Music,298
10439,18 - 24,Female,student,0 - 1,Music,47
