user_id,age_group,gender,profession,hours_spending,musical_aspect,listened_songs,song_id
10257,18 - 24,Female,Student,1 - 3,The singer's voice,Aaley katha,283
10258,18 - 24,Female,Student,1 - 3,The singer's voice,Pandama,140
10259,18 - 24,Female,Student,1 - 3,The singer's voice,Awathan hade,284
10260,25 - 34,Female,Student,1 - 3,The singer's voice,Nura wasanthe,127
10261,25 - 34,Female,Engineer,0 - 1,The message of the song,Mandaram Wahi Watena,221
10262,25 - 34,Female,Engineer,0 - 1,The message of the song,gamata kalin hiru,42
10263,25 - 34,Female,Engineer,0 - 1,The message of the song,Gamen Liyumak Awilla,43
10264,25 - 34,Female,Engineer,0 - 1,The message of the song,Hanthana Sihine(Bala Walapemi),47
10265,25 - 34,Female,Engineer,0 - 1,The message of the song,premayen mana ranjitha we,285
10266,25 - 34,Female,Engineer,0 - 1,The message of the song,suwada saban anga gaala,286
10267,25 - 34,Female,Engineer,0 - 1,The message of the song,Atha Ran Wiman Thulin Pata Selayen Sadi,1
10268,25 - 34,Female,Engineer,0 - 1,The message of the song,Ananthayata Yana Para Dige,14
10269,25 - 34,Female,Engineer,0 - 1,The message of the song,Athsana,264
10270,18 - 24,Female,Medical student,3 - 5,The message of the song,Prathihari,227
10271,18 - 24,Female,Medical student,3 - 5,The message of the song,Lu (Numba Nomathi Dihawaka),287
10272,18 - 24,Female,Medical student,3 - 5,The message of the song,prema sajjayanaya,288
10273,18 - 24,Female,Medical student,3 - 5,The message of the song,robarosiyan,289
10274,18 - 24,Female,Medical student,3 - 5,The message of the song,sasthara,267
10275,18 - 24,Female,Medical student,3 - 5,The message of the song,radical paththini,290
10276,18 - 24,Female,Medical student,3 - 5,The message of the song,Lu (Numba Nomathi Dihawaka),287
10277,18 - 24,Female,Medical student,3 - 5,The message of the song,Awathan hade,284
10278,18 - 24,Female,Medical student,3 - 5,The message of the song,sadanari,175
10279,18 - 24,Female,Medical student,3 - 5,The message of the song,Yakkun Pitiyata,219
10280,18 - 24,Female,Student,0 - 1,The singer's voice,Sandaganawa,174
10281,18 - 24,Female,Student,0 - 1,The singer's voice,Sandanari,175
10282,18 - 24,Female,Student,0 - 1,The singer's voice,Rambari,155
10283,18 - 24,Female,Student,0 - 1,The singer's voice,Hitha Nambara Thaleta,57
10284,18 - 24,Female,Student,0 - 1,The singer's voice,Nawathi methekin,118
10285,18 - 24,Female,Student,0 - 1,The singer's voice,Sulanga obada,201
10286,18 - 24,Male,Student,0 - 1,Music,Hinahenne man,51
10287,18 - 24,Female,Student,1 - 3,Music,Atha Kadukara Himau Arane,16
